label,T_air_C,mode,m_dot_refrigerant_kgs,n_active_compressors,to_C,tc_C,T_discharge_C,P_compressor_kW,COP_compressor,Q_condenser_kW,condenser_subcool_K,condenser_dP_ref_kPa,condenser_dP_glycol_kPa,eev_quality,eev_Kv_m3h,evaporator_superheat_K,evaporator_dP_ref_kPa,evaporator_dP_water_kPa,econ_dP_water_kPa,econ_dP_glycol_kPa,econ_UA_kWK,econ_LMTD_K,Q_econ_kW,Q_mech_kW,econ_glycol_supply_C,CHW_econ_outlet_C,tube_suction,v_suction_ms,tube_discharge,v_discharge_ms,tube_liquid,v_liquid_ms,m_dot_water_kgs,m_dot_glycol_kgs,P_glycol_pump_kW,P_chw_pump_kW,fan_speed_pct,P_fan_kW,Q_delivered_kW,P_other_kW,PUE,TUE,COP_sys_fc
Jan,-4.755376344086021,free_cooling,,,,,,0.0,,,,,,,,,,,6.6706334456996705,10.426082216120406,25.0,6.0,,,,,,,,,,,5.972859327217125,6.518394910437253,0.5355608543616829,1.114015863384975,15.812868835769004,0.04191195035207002,150.0,1.6914886680987278,1.0112765911206583,1.2135319093447898,88.67928164638752
Feb,-1.287202380952381,free_cooling,,,,,,0.0,,,,,,,,,,,6.6706334456996705,10.426082216120406,25.0,6.0,,,,,,,,,,,5.972859327217125,6.518394910437253,0.5355608543616829,1.114015863384975,19.796330654476595,0.082235618416046,150.0,1.731812336162704,1.011545415574418,1.2138544986893014,86.614465590634
Mar,6.045161290322581,partial_free_cooling,0.06868046231167756,1,10.0,16.045161290322582,34.42447114127157,1.8196526317405495,14.049118871979031,27.384168760773022,4.950587357224549,1.0040585046185317,1.8837839015019506,0.0075935564662247485,0.3217678083345998,8.06310426824092,1.8363319933593714,9.16679867918926,6.6706334456996705,10.426082216120406,25.0,,124.43548387096754,25.564516129032462,11.045161290322596,16.022580645161298,"7/8""",14.741209783483747,"7/8""",13.19520615370546,"1/2""",1.1846571219701656,5.969579025287309,1.7862191640862202,0.5355608543616829,1.114015863384975,32.49580944491739,0.363737387641226,150.0,3.8329667371284337,1.0255531115808563,1.2306637338970274,
Apr,12.218611111111112,mechanical,0.42124707324404387,2,10.0,22.218611111111112,40.487873358374316,14.183749713812007,10.57548271977271,164.18374971381215,4.756747470056553,5.569356490555378,30.654575423023708,0.0523882894868825,1.3661551719627454,8.322582599342581,9.319755562596782,9.747927781929143,,,,,,150.0,,,"2-1/8""",15.703087834978406,"2-1/8""",11.968997299655575,"1-1/8""",1.386540798622086,5.972859327217129,10.662667210924285,2.5699762086734537,1.114015863384975,79.56856190918757,5.339866405673489,150.00000000000009,23.207608191543926,1.154717387943626,1.3856608655323512,
May,15.714112903225805,mechanical,0.4325301539730984,2,10.0,25.714112903225804,44.03789389620687,16.39044782284756,9.151671853096449,166.39044782284756,4.782673314564477,5.318972523760733,30.629981320946808,0.07817115468464049,1.2175453328667707,8.335347471293176,9.685127602514795,9.747927781929128,,,,,,150.0,,,"2-1/8""",16.12369421776709,"2-1/8""",11.25252551853983,"1-1/8""",1.4385410790253068,5.972859327217125,10.779655330719088,2.5699762086734537,1.114015863384975,80.91596598038178,5.615759942232601,150.0,25.69019983713859,1.1712679989142571,1.4055215986971086,
Jun,22.31597222222222,mechanical,0.456019673252733,2,10.0,32.31597222222222,50.942151991140406,21.042283009608827,7.128504066384026,171.04228300960912,4.823115430203131,4.891095387959868,31.026929779456818,0.12775394104690943,1.0494397443608168,8.361598603106074,10.435710804603302,9.747927781929171,,,,,,150.0,,,"2-1/8""",16.99932756427067,"1-5/8""",17.875105289385615,"1-3/8""",1.0341548870379407,5.972859327217137,11.030146968401548,2.5699762086734537,1.114015863384975,83.77692308460907,6.2327410333461195,150.00000000000028,30.959016115013373,1.2063934407667554,1.4476721289201064,
Jul,25.05336021505376,mechanical,0.46671352101817865,2,10.0,35.05336021505376,53.87320913046523,23.175247500197717,6.472422786368098,173.1752475001977,4.837200800522226,4.728926831141598,31.347487690427453,0.14867370616958844,1.0036481975553317,8.37341477063859,10.773208631058385,9.747927781929123,,,,,,150.0,,,"2-1/8""",17.397968745232404,"1-5/8""",17.141569169824844,"1-3/8""",1.0679119054621782,5.972859327217123,11.146707485852065,2.5699762086734537,1.114015863384975,85.09685457458151,6.532003188739556,149.99999999999997,33.3912427609957,1.2226082850733047,1.4671299420879655,
Aug,22.806451612903224,mechanical,0.4578914922615833,2,10.0,32.806451612903224,51.4645677264258,21.41516073567784,7.004383569724915,171.41516073567777,4.825742761894503,4.861426350368501,31.078054904865436,0.13148622320571624,1.0404673305111687,8.363672746592101,10.49496920222544,9.747927781929121,,,,,,150.0,,,"2-1/8""",17.06910451982504,"1-5/8""",17.739046736620995,"1-3/8""",1.040045295349451,5.9728593272171215,11.050487412047303,2.5699762086734537,1.114015863384975,84.00716920255982,6.284271168702552,149.99999999999991,31.383423976438824,1.2092228265095923,1.4510673918115107,
Sep,18.512638888888887,mechanical,0.4421168686777406,2,10.0,28.512638888888887,46.93452520351457,18.281605619211927,8.20496859654202,168.28160561921146,4.801048079724637,5.130835894538504,30.730428506641754,0.0990435886976499,1.133499692078963,8.346112264830595,9.99305066758274,9.747927781929075,,,,,,150.0,,,"2-1/8""",16.48106411448008,"2-1/8""",10.732952266019678,"1-3/8""",0.990650270816366,5.972859327217107,10.880745223018973,2.5699762086734537,1.114015863384975,82.07638778135691,5.860849500164243,149.99999999999957,27.826447191434603,1.185509647942898,1.4226115775314774,
Oct,11.493682795698923,mechanical,0.4189967650434059,2,10.0,21.493682795698923,39.76170597181391,13.746757196013489,10.91166431916754,163.7467571960135,4.75090925844853,5.62357087655548,30.683150285900755,0.047080041481170294,1.4060715050091075,8.320023938694419,9.24648737570599,9.747927781929128,,,,,,150.0,,,"2-1/8""",15.619201703596508,"2-1/8""",12.127762102117275,"1-1/8""",1.3762229517634814,5.972859327217125,10.63981528239204,2.5699762086734537,1.114015863384975,79.30193057646517,5.286364998662212,150.0,22.71711426673413,1.1514474284448941,1.381736914133873,
